"title","author","date","response"
"316","Re: [閒聊] 關於冰雪奇緣在日本賣很好這件事","look1225"," 1/06","X2"
"317","[討論] 為什麼原罪犯是一部基督教精神的影片","ipost"," 1/06",""
"318","[請益] Stand by me , 大英雄天團 抉擇!!","starsshining"," 1/06","64"
"319","[考古雷] 大俠梅花鹿：主角就是潮","aliylsh"," 1/06","38"
"320","[情報] 2014溫哥華影評人協會(VFCC) 得獎名單","bill93557063"," 1/06","3"
"321","[片單] 看完全場起立鼓掌的片","moneybuy"," 1/06","爆"
"322","Re: [討論] 為什麼原罪犯是一部基督教精神的影片","a5378623"," 1/06",""
"323","[新聞] 大牌雲集!37位焦點影星登雜誌特輯","queeniwu"," 1/06","2"
"324","[討論] 《刺客教條》上映日確定","alljerry04"," 1/06","33"
"325","Re: [片單] 爛到哭笑不得的爛片","mykuro330"," 1/06",""
"326","[新聞]查寧坦圖證實《金牌手》2016年上映 ","kevinhft"," 1/06","34"
"327","[問片] 不同的環太平洋","uoo851130"," 1/06","24"
"328","[問片] 籃球心世界 ","talktony"," 1/06","1"
"329","[問片] 醫生幫助行動不變/無法溝通的病人復原","zero8069"," 1/06","2"
"330","[討論]《肌膚之侵》角色專訪","youknowwho02"," 1/06","7"
"331","[選片] 鬼片多選一!!(嚇死鬼,陰地,連體陰..等)","syncq"," 1/06","46"
"332","[問片] 統聯上的電影","cas8"," 1/06","4"
"333","[好雷] 「愛的萬物論」 - 人生艱難，用愛克服","leila"," 1/06","5"
"334","Re: [片單] 爛到哭笑不得的爛片","rpg"," 1/06","8"
"335","[片單] 類似 白日夢冒險王 的影片?","penolove5566"," 1/06","57"
"336","[新聞]《蜂蜜之夏》觸動賈樟柯 珍康萍心靈最深處","chewayne"," 1/06","2"
"337","[問片] 問三部片子","love38381"," 1/06","5"
"338","Re: [負雷] 鬼入鏡：詛咒 鋪梗鋪到不知所謂(些微劇透","blue80169"," 1/06","4"
"339","[請益] 大亨小傳的一句台詞","HoterLin"," 1/06","7"
"340","[極好雷]《冬日甦醒》 ","comebackkid"," 1/06","3"
"341","[問片] 問一部離婚夫妻還是好朋友的愛情片(已解)","mahjong"," 1/06","7"
"342","[負雷] 瞞天殺機","NANAer"," 1/06",""
"343","[問片] 部隊在救一個女生","camrychou"," 1/06","7"
"344","[普雷] 我們都需要一個結局之《極光之愛》","lyricrain"," 1/06","2"
